iter	Passed	Remaining
0	0	582
1	1	520
2	1	512
3	2	498
4	3	506
5	3	508
6	4	517
7	5	519
8	5	522
9	6	513
10	7	512
11	7	507
12	8	505
13	9	506
14	9	506
15	10	503
16	10	499
17	11	496
18	12	497
19	12	498
20	13	494
21	14	512
22	15	511
23	15	508
24	16	507
25	17	523
26	18	523
27	18	520
28	19	516
29	20	516
30	20	517
31	21	515
32	22	513
33	22	510
34	23	510
35	23	507
36	24	505
37	25	504
38	25	501
39	26	499
40	26	497
41	27	494
42	28	493
43	28	491
44	29	501
45	30	498
46	30	496
47	31	493
48	32	491
49	32	490
50	33	488
51	33	486
52	34	485
53	35	483
54	35	482
55	36	482
56	36	481
57	37	481
58	38	480
59	38	479
60	39	478
61	40	477
62	40	476
63	41	474
64	42	475
65	42	474
66	43	472
67	43	471
68	44	470
69	45	469
70	45	469
71	46	468
72	46	467
73	47	465
74	48	464
75	48	463
76	49	461
77	50	467
78	51	466
79	51	464
80	52	463
81	52	462
82	53	461
83	53	460
84	54	459
85	55	457
86	56	461
87	56	460
88	57	459
89	58	458
90	58	457
91	59	456
92	60	457
93	61	458
94	61	458
95	62	459
96	63	458
97	64	459
98	64	459
99	65	458
100	66	457
101	66	456
102	67	455
103	67	454
104	68	453
105	69	452
106	69	451
107	70	451
108	71	450
109	71	449
110	72	448
111	72	448
112	73	447
113	74	447
114	75	446
115	75	446
116	76	445
117	76	444
118	77	443
119	78	443
120	79	443
121	79	443
122	80	443
123	81	442
124	81	442
125	82	441
126	83	440
127	83	440
128	84	438
129	84	437
130	85	437
131	86	436
132	86	435
133	87	434
134	88	433
135	88	432
136	89	431
137	90	432
138	90	431
139	91	430
140	91	429
141	92	429
142	93	428
143	93	427
144	94	426
145	95	426
146	95	424
147	96	423
148	96	422
149	97	421
150	97	421
151	98	420
152	99	419
153	99	418
154	100	417
155	100	416
156	101	415
157	102	414
158	102	414
159	103	413
160	104	412
161	104	412
162	105	414
163	106	413
164	107	412
165	107	411
166	108	411
167	109	410
168	109	409
169	110	408
170	110	407
171	111	407
172	112	406
173	112	405
174	113	405
175	114	404
176	114	403
177	115	402
178	115	402
179	116	401
180	117	400
181	117	399
182	118	399
183	119	398
184	119	397
185	120	397
186	121	396
187	121	396
188	122	395
189	122	394
190	123	393
191	123	392
192	124	391
193	125	390
194	125	390
195	126	389
196	127	389
197	127	388
198	128	387
199	129	387
200	129	386
201	130	385
202	130	384
203	131	383
204	131	383
205	132	382
206	133	381
207	133	380
208	134	380
209	135	379
210	135	379
211	136	378
212	137	378
213	137	377
214	138	376
215	138	375
216	139	374
217	140	374
218	140	373
219	141	372
220	142	372
221	142	371
222	143	371
223	144	370
224	144	369
225	145	369
226	145	368
227	146	367
228	146	366
229	147	365
230	148	364
231	148	363
232	149	362
233	149	361
234	150	361
235	150	360
236	151	360
237	152	359
238	152	359
239	153	358
240	154	357
241	154	356
242	155	355
243	155	354
244	156	353
245	156	353
246	157	352
247	157	351
248	158	350
249	159	350
250	159	349
251	160	348
252	160	347
253	161	347
254	162	346
255	162	345
256	163	344
257	163	344
258	164	343
259	165	342
260	165	341
261	166	341
262	166	340
263	167	339
264	168	339
265	168	338
266	169	337
267	169	336
268	170	336
269	170	335
270	171	334
271	172	334
272	172	333
273	173	332
274	173	331
275	174	331
276	175	330
277	175	330
278	176	329
279	177	328
280	177	327
281	178	327
282	178	326
283	179	325
284	179	325
285	180	324
286	181	323
287	181	323
288	182	322
289	182	321
290	183	321
291	184	320
292	184	319
293	185	319
294	186	318
295	186	317
296	187	317
297	187	316
298	188	315
299	188	314
300	189	314
301	190	313
302	190	312
303	191	312
304	192	311
305	192	310
306	193	310
307	193	309
308	194	308
309	194	308
310	195	307
311	196	306
312	196	305
313	197	305
314	197	304
315	198	303
316	199	303
317	199	302
318	200	301
319	200	301
320	201	300
321	202	300
322	202	299
323	203	298
324	203	297
325	204	297
326	205	296
327	205	295
328	206	295
329	206	294
330	207	293
331	207	293
332	208	292
333	209	291
334	209	291
335	210	290
336	210	289
337	211	289
338	212	288
339	212	287
340	213	286
341	213	286
342	214	285
343	214	284
344	215	284
345	216	283
346	216	282
347	217	282
348	217	281
349	218	280
350	219	280
351	219	279
352	220	278
353	220	278
354	221	277
355	221	276
356	222	276
357	223	275
358	223	274
359	224	274
360	225	273
361	225	273
362	226	272
363	226	271
364	227	271
365	228	270
366	228	269
367	229	269
368	229	268
369	230	267
370	231	267
371	231	266
372	232	266
373	233	265
374	233	265
375	234	264
376	235	263
377	235	263
378	236	262
379	236	261
380	237	261
381	238	260
382	238	259
383	239	259
384	239	258
385	240	257
386	240	257
387	241	256
388	242	255
389	242	255
390	243	254
391	243	253
392	244	253
393	244	252
394	245	251
395	246	251
396	246	250
397	247	249
398	248	249
399	248	248
400	249	248
401	249	247
402	250	246
403	251	246
404	251	245
405	252	244
406	252	244
407	253	243
408	254	242
409	254	242
410	255	241
411	255	240
412	256	240
413	257	239
414	257	239
415	258	238
416	259	237
417	259	237
418	260	236
419	260	235
420	261	235
421	262	234
422	262	234
423	263	233
424	263	232
425	264	232
426	265	231
427	265	230
428	266	230
429	266	229
430	267	229
431	268	228
432	269	228
433	269	227
434	270	227
435	271	226
436	272	225
437	272	225
438	273	224
439	273	223
440	274	223
441	274	222
442	275	221
443	276	221
444	276	220
445	277	220
446	277	219
447	278	218
448	278	218
449	279	217
450	280	216
451	280	216
452	281	215
453	282	215
454	282	214
455	283	213
456	284	213
457	284	212
458	285	211
459	285	211
460	286	210
461	287	209
462	287	209
463	288	208
464	289	208
465	289	207
466	290	207
467	291	206
468	291	205
469	292	205
470	293	204
471	293	204
472	294	203
473	295	202
474	295	202
475	296	201
476	297	201
477	297	200
478	298	200
479	299	199
480	299	198
481	300	198
482	301	197
483	302	197
484	302	196
485	303	196
486	304	195
487	305	195
488	306	194
489	307	194
490	307	193
491	308	193
492	309	192
493	309	191
494	310	191
495	310	190
496	311	189
497	312	189
498	313	188
499	313	188
500	314	187
501	315	187
502	315	186
503	316	185
504	316	185
505	317	184
506	318	183
507	318	183
508	319	182
509	320	182
510	320	181
511	321	181
512	322	180
513	322	179
514	323	179
515	324	178
516	324	177
517	325	177
518	326	176
519	326	175
520	327	175
521	328	174
522	328	174
523	329	173
524	330	172
525	330	172
526	331	171
527	331	170
528	332	170
529	332	169
530	333	169
531	334	168
532	334	167
533	335	167
534	335	166
535	336	165
536	337	165
537	337	164
538	338	163
539	339	163
540	339	162
541	340	162
542	340	161
543	341	160
544	342	160
545	342	159
546	343	158
547	344	158
548	344	157
549	345	156
550	345	156
551	346	155
552	347	155
553	347	154
554	348	153
555	348	153
556	349	152
557	350	151
558	350	151
559	351	150
560	351	149
561	352	149
562	352	148
563	353	147
564	354	147
565	354	146
566	355	146
567	356	145
568	356	144
569	357	144
570	358	143
571	358	143
572	359	142
573	360	141
574	360	141
575	361	140
576	361	139
577	362	139
578	363	138
579	363	137
580	364	137
581	364	136
582	365	136
583	366	135
584	366	134
585	367	134
586	367	133
587	368	132
588	369	132
589	369	131
590	370	130
591	370	130
592	371	129
593	372	129
594	372	128
595	373	127
596	374	127
597	374	126
598	375	125
599	375	125
600	376	124
601	377	123
602	377	123
603	378	122
604	379	122
605	379	121
606	380	120
607	380	120
608	381	119
609	382	119
610	382	118
611	383	117
612	383	117
613	384	116
614	385	115
615	385	115
616	386	114
617	387	114
618	387	113
619	388	112
620	388	112
621	389	111
622	390	110
623	390	110
624	391	109
625	391	108
626	392	108
627	393	107
628	393	107
629	394	106
630	394	105
631	395	105
632	396	104
633	396	103
634	397	103
635	397	102
636	398	101
637	399	101
638	399	100
639	400	100
640	400	99
641	401	98
642	402	98
643	402	97
644	403	96
645	403	96
646	404	95
647	405	95
648	405	94
649	406	93
650	406	93
651	407	92
652	408	91
653	408	91
654	409	90
655	409	89
656	410	89
657	411	88
658	411	88
659	412	87
660	412	86
661	413	86
662	413	85
663	414	84
664	415	84
665	415	83
666	416	83
667	416	82
668	417	81
669	418	81
670	418	80
671	419	79
672	420	79
673	421	78
674	421	78
675	422	77
676	423	76
677	423	76
678	424	75
679	424	74
680	425	74
681	425	73
682	426	73
683	427	72
684	428	71
685	428	71
686	429	70
687	429	69
688	430	69
689	431	68
690	431	68
691	432	67
692	432	66
693	433	66
694	434	65
695	434	64
696	435	64
697	435	63
698	436	63
699	437	62
700	437	61
701	438	61
702	439	60
703	439	59
704	440	59
705	440	58
706	441	58
707	441	57
708	442	56
709	443	56
710	443	55
711	444	54
712	445	54
713	445	53
714	446	53
715	447	52
716	447	51
717	448	51
718	448	50
719	449	49
720	450	49
721	450	48
722	451	48
723	451	47
724	452	46
725	453	46
726	453	45
727	454	44
728	454	44
729	455	43
730	456	43
731	456	42
732	457	41
733	457	41
734	458	40
735	459	39
736	459	39
737	460	38
738	460	38
739	461	37
740	462	36
741	462	36
742	463	35
743	463	34
744	464	34
745	465	33
746	465	33
747	466	32
748	467	31
749	467	31
750	468	30
751	468	29
752	469	29
753	469	28
754	470	28
755	471	27
756	471	26
757	472	26
758	472	25
759	473	24
760	474	24
761	474	23
762	475	23
763	476	22
764	476	21
765	477	21
766	477	20
767	478	19
768	479	19
769	479	18
770	480	18
771	480	17
772	481	16
773	482	16
774	482	15
775	483	14
776	483	14
777	484	13
778	485	13
779	485	12
780	486	11
781	486	11
782	487	10
783	487	9
784	488	9
785	489	8
786	489	8
787	490	7
788	491	6
789	491	6
790	492	5
791	493	4
792	493	4
793	494	3
794	494	3
795	495	2
796	496	1
797	496	1
798	497	0
799	497	0
