日付,M1,M2,M3,M4,M5,M6,M7,M8,USDJPY,JGB_Future,Nikkei225,DXY,JPY_Effective,Date,Policy_Rate,Event,Is_Meeting_Day,Actual_Policy_Rate,M1_is_imputed,M2_is_imputed,M3_is_imputed,M4_is_imputed,M5_is_imputed,M6_is_imputed,M7_is_imputed,M8_is_imputed
2023-02-24,-0.00625,0.0125,0.04375,0.08,0.11375,0.14125,0.17472813808690063,0.19433105970852282,136.47,146.6,27453.48,105.214,0.7709679783102513,,,,0,-0.08323571795648999,0,0,0,0,0,0,1,1
2023-02-27,-0.00625,0.015,0.03875,0.0775,0.1225,0.15,0.18444912127538893,0.20412274095262317,136.22,146.46,27423.96,104.673,0.7684113933343122,,,,0,-0.10259464258188,0,0,0,0,0,0,1,1
2023-02-28,-0.00625,0.01625,0.04125,0.075,0.11125,0.13625,0.1693629591907296,0.18819210814045317,136.22,146.65,27445.56,104.869,0.7698502422551755,,,,0,-0.09300860094455743,0,0,0,0,0,0,1,1
2023-03-01,-0.0075,0.01375,0.04625,0.0725,0.1025,0.14125,0.17227244665157748,0.18704746665331062,136.19,146.69,27516.53,104.483,0.7671855495998238,,,,0,-0.09672753735468387,0,0,0,0,0,0,1,1
2023-03-02,-0.0075,0.015,0.04125,0.075,0.10875,0.13625,0.16883213232870264,0.1877316132516833,136.78,146.63,27498.87,105.027,0.767853487351952,,,,0,-0.09199432503217242,0,0,0,0,0,0,1,1
2023-03-03,-0.0075,0.0125,0.035,0.06875,0.1075,0.125,0.1575205985952619,0.17684705266394873,135.88,146.89,27927.47,104.521,0.7692154842508095,,,,0,-0.09155741402207873,0,0,0,0,0,0,1,1
2023-03-06,-0.0075,0.0125,0.03375,0.06625,0.09625,0.12,0.15196064764180905,0.17112195005734132,135.93,146.81,28237.78,104.35,0.7676745383653351,,,,0,-0.09480876126989424,0,0,0,0,0,0,1,1
2023-03-07,-0.00875,0.0075,0.035,0.06375,0.09,0.10375,0.1363284489601817,0.15793277991867027,137.16,146.87,28309.16,105.615,0.77001312335958,,,,0,-0.07179126169669914,0,0,0,0,0,0,1,1
2023-03-08,-0.00875,0.00625,0.0375,0.06,0.08375,0.11,0.1421095250027941,0.1602200159803744,137.35,146.79,28444.19,105.658,0.7692610120131053,,,,0,-0.08340617956692542,0,0,0,0,0,0,1,1
2023-03-09,-0.00625,0.01125,0.03375,0.065,0.09375,0.1175,0.15314706246438628,0.17442742828186453,136.15,146.5,28623.15,105.309,0.7734777818582446,,,,0,-0.09552961857780629,0,0,0,0,0,0,1,1
2023-03-10,-0.00625,0.005,0.02875,0.0525,0.0775,0.1075,0.13580832691173483,0.1463512822549995,135.0,147.49,28143.97,104.576,0.774637037037037,2023-03-10,-0.1," ""MPM""",1,-0.1,0,0,0,0,0,0,1,1
2023-03-13,-0.00125,0.0175,0.0425,0.06625,0.07125,0.09066217209371535,0.11736039498445786,0.12830629746368172,133.21,147.79,27832.96,103.595,0.7776818557165377,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-14,-0.01125,0.00375,0.02,0.03,0.0375,0.052638546428865396,0.07523003467195186,0.08373820822449352,134.22,148.1,27222.04,103.597,0.7718447325286842,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-15,-0.0125,0.01125,0.0375,0.07,0.09375,0.11666903619049268,0.14632412238924056,0.15787686781351118,133.41,147.72,27229.48,104.646,0.7843939734652575,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-16,-0.01,0.00875,0.03125,0.06125,0.08125,0.0996777876168734,0.12356292631577814,0.12990582507178994,133.75,148.44,27010.61,104.418,0.7806953271028038,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-17,-0.0075,0.00875,0.04125,0.06,0.09,0.10911837184847356,0.13597583823625467,0.14080596964275083,131.81,148.27,27333.79,103.708,0.7867991806387983,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-20,-0.00625,0.01,0.0325,0.055,0.0575,0.06992574958851927,0.09067681028178101,0.09352493164921771,131.32,148.99,26945.67,103.281,0.7864833993298813,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-22,-0.0075,0.01,0.0325,0.0575,0.08625,0.10460004414011437,0.12920435363764482,0.1359767586679539,131.46,148.28,27466.61,102.346,0.7785333941883462,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-23,-0.0075,0.0075,0.0325,0.04625,0.08,0.09650349019450122,0.12081732162484687,0.1236661076729404,130.82,148.52,27419.61,102.532,0.7837639504662895,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-24,-0.0075,0.01125,0.04,0.06125,0.0825,0.09866329963304049,0.1230865265096065,0.12625643011183763,130.71,148.7,27385.25,103.116,0.7888914390635758,,,,0,-0.1,0,0,0,0,0,1,1,1
2023-03-27,-0.0075,0.00875,0.04125,0.0625,0.08625,0.103114317215933,0.12661157572823695,0.130327304364092,131.56,148.64,27476.87,102.857,0.7818257829127394,,,,0,-0.1,0,0,0,0,0,1,1,1
