iter	Passed	Remaining
0	7	7166
1	9	4934
2	13	4410
3	15	3854
4	17	3511
5	19	3274
6	21	3085
7	23	2938
8	26	2889
9	28	2848
10	30	2772
11	32	2709
12	34	2653
13	37	2610
14	38	2552
15	40	2512
16	43	2495
17	45	2493
18	47	2458
19	49	2432
20	51	2412
21	53	2384
22	55	2364
23	57	2342
24	60	2350
25	62	2340
26	64	2323
27	66	2305
28	68	2294
29	70	2282
30	72	2267
31	74	2259
32	76	2242
33	78	2228
34	80	2213
35	82	2200
36	84	2191
37	86	2184
38	88	2172
39	90	2161
40	92	2158
41	94	2151
42	96	2140
43	98	2129
44	100	2124
45	102	2116
46	103	2106
47	105	2099
48	108	2098
49	110	2103
50	113	2104
51	115	2097
52	117	2096
53	119	2092
54	121	2084
55	123	2079
56	125	2073
57	127	2066
58	129	2064
59	131	2056
60	133	2056
61	135	2049
62	137	2044
63	139	2040
64	142	2043
65	144	2049
66	147	2055
67	150	2062
68	153	2068
69	155	2071
70	158	2078
71	161	2082
72	164	2089
73	166	2088
74	168	2082
75	170	2078
76	173	2075
77	176	2085
78	178	2081
79	180	2074
80	182	2070
81	184	2067
82	186	2064
83	189	2063
84	191	2062
85	193	2059
86	195	2053
87	197	2050
88	200	2048
89	201	2042
90	203	2036
91	206	2035
92	208	2034
93	210	2032
94	212	2026
95	214	2024
96	217	2024
97	219	2018
98	221	2014
99	223	2013
100	225	2010
101	227	2006
102	229	2001
103	231	1997
104	233	1992
105	235	1987
106	237	1982
107	239	1980
108	241	1975
109	243	1971
110	245	1966
111	247	1962
112	249	1958
113	251	1953
114	253	1952
115	255	1950
116	258	1950
117	260	1947
118	262	1942
119	264	1939
120	266	1935
121	268	1932
122	270	1927
123	272	1927
124	275	1926
125	277	1922
126	278	1917
127	280	1913
128	282	1909
129	284	1905
130	286	1901
131	288	1898
132	290	1894
133	292	1889
134	294	1885
135	296	1882
136	298	1879
137	300	1876
138	302	1871
139	304	1869
140	306	1868
141	308	1865
142	310	1861
143	312	1857
144	315	1857
145	317	1854
146	318	1850
147	321	1849
148	323	1849
149	326	1849
150	328	1846
151	330	1845
152	332	1843
153	335	1840
154	337	1837
155	339	1839
156	342	1838
157	344	1836
158	346	1835
159	349	1834
160	351	1833
161	354	1833
162	357	1833
163	359	1832
164	362	1836
165	365	1836
166	367	1834
167	370	1833
168	373	1834
169	376	1837
170	380	1842
171	382	1841
172	384	1837
173	387	1837
174	390	1839
175	399	1870
176	403	1878
177	406	1878
178	408	1874
179	410	1871
180	412	1868
181	415	1866
182	417	1863
